バーコード,商品管理番号（商品URL）,商品番号,商品名,保証賞味期限,商品画像URL
14400925395 ,00017,00017,メルシープチアソート 125g(休売),2ヶ月,https://image.rakuten.co.jp/miltaku/cabinet/syouhingazou/shokuhin/00017.jpg
54300091527 ,00018,00018,ロッキーマウンテン マシュマロ 150g,2ヶ月,https://image.rakuten.co.jp/miltaku/cabinet/syouhingazou/shokuhin/00018.jpg
54300091541 ,00019,00019,ロッキーマウンテン カラーマシュマロ 150g,2ヶ月,https://image.rakuten.co.jp/miltaku/cabinet/syouhingazou/shokuhin/00019.jpg
3259426035081 ,00023,00023,ガレットクッキー 120g(休売),2ヶ月,https://image.rakuten.co.jp/miltaku/cabinet/syouhingazou/shokuhin/00023.jpg
3259426035074 ,00024,00024,パレットクッキー 125g,2ヶ月,https://image.rakuten.co.jp/miltaku/cabinet/syouhingazou/shokuhin/00024.jpg
5202175001089 ,00033,00033,ナチョチップ ノンソルト 100g,40日,https://image.rakuten.co.jp/miltaku/cabinet/syouhingazou/shokuhin/00033.jpg
5202175001096 ,00034,00034,ナチョチップ ソルト 100g,40日,https://image.rakuten.co.jp/miltaku/cabinet/syouhingazou/shokuhin/00034.jpg
5202175001454 ,00035,00035,ナチョチップ チーズ 100g,40日,https://image.rakuten.co.jp/miltaku/cabinet/syouhingazou/shokuhin/00035.jpg
,00042,00042,クレスポ スタッフドオリーブ ピメント 120g,6ヶ月,https://image.rakuten.co.jp/miltaku/cabinet/syouhingazou/shokuhin/00042.jpg
8007270000220 ,00043,00043,オレア エキストラバージンオリーブオイル 500ml,6ヶ月,https://image.rakuten.co.jp/miltaku/cabinet/syouhingazou/shokuhin/00043.jpg
,00052,00052,オレア グレープシードオイル 500ml,3ヶ月,https://image.rakuten.co.jp/miltaku/cabinet/syouhingazou/shokuhin/00052.jpg
4012200505342 ,00053,00053,キューネ ザワークラウト 425ml,3ヶ月,https://image.rakuten.co.jp/miltaku/cabinet/syouhingazou/shokuhin/00053.jpg
8851978801036 ,00062,00062,タイチョイス スイートチリソース 200ml,6ヶ月,https://image.rakuten.co.jp/miltaku/cabinet/syouhingazou/shokuhin/00062.jpg
8006614629431 ,00065,00065,モンロスコ ピンクヒマラヤンソルト（プラスチックミル） 90g,6ヶ月,https://image.rakuten.co.jp/miltaku/cabinet/syouhingazou/shokuhin/00065.jpg
8006614629370 ,00066,00066,モンロスコ シシリアンソルト（プラスチックミル） 90g,6ヶ月,https://image.rakuten.co.jp/miltaku/cabinet/syouhingazou/shokuhin/00066.jpg
40122779 ,00071,00071,キューネ シーザードレッシング 250ml,3ヶ月,https://image.rakuten.co.jp/miltaku/cabinet/syouhingazou/shokuhin/00071.jpg
40804880 ,00072,00072,キューネ サウザンアイランド ドレッシング 250ml,3ヶ月,https://image.rakuten.co.jp/miltaku/cabinet/syouhingazou/shokuhin/00072.jpg
40804897 ,00073,00073,キューネ イタリアンドレッシング 250ml(休売),3ヶ月,https://image.rakuten.co.jp/miltaku/cabinet/syouhingazou/shokuhin/00073.jpg
4791076001607 ,00077,00077,ゼスタ 20TB ハーブセレクション 1.5g×20,3ヶ月,https://image.rakuten.co.jp/miltaku/cabinet/syouhingazou/shokuhin/00077.jpg
4791076001638 ,00078,00078,ゼスタ 20TB カモミールティ 1.5g×20,3ヶ月,https://image.rakuten.co.jp/miltaku/cabinet/syouhingazou/shokuhin/00078.jpg
4791076001621 ,00079,00079,ゼスタ 20TB ローズヒップティ 1.5g×20,3ヶ月,https://image.rakuten.co.jp/miltaku/cabinet/syouhingazou/shokuhin/00079.jpg
4791076001614 ,00080,00080,ゼスタ 20TB ペパーミントティ 1.5g×20,3ヶ月,https://image.rakuten.co.jp/miltaku/cabinet/syouhingazou/shokuhin/00080.jpg
4791076001645 ,00081,00081,ゼスタ 20TB ルイボスティ 1.5g×20,3ヶ月,https://image.rakuten.co.jp/miltaku/cabinet/syouhingazou/shokuhin/00081.jpg
8009385329036 ,00083,00083,スガンバロ スパゲッティーニ 500g,6ヶ月,https://image.rakuten.co.jp/miltaku/cabinet/syouhingazou/shokuhin/00083.jpg
8009385131059 ,00084,00084,スガンバロ オーガニックスパゲッティ（全粒粉） 500g(休売),6ヶ月,https://image.rakuten.co.jp/miltaku/cabinet/syouhingazou/shokuhin/00084.jpg
40122281 ,00086,00086,キューネ アセトバルサミコ 100ml,6ヶ月,https://image.rakuten.co.jp/miltaku/cabinet/syouhingazou/shokuhin/00086.jpg
40122564 ,00087,00087,キューネ バルサミコ白 100ml,6ヶ月,https://image.rakuten.co.jp/miltaku/cabinet/syouhingazou/shokuhin/00087.jpg
